id,platform,title,content_summary,likes,comments,efficacy_tags,persona_tags,scene_tags,emotion_tags,price_tags,heat_score,potential_score,is_valid
001,小红书,学生党宿舍洗发水推荐｜修护柔顺不踩雷,分享宿舍常用修护洗发水，强调顺滑感和玫瑰香味，适合预算有限的学生,312,45,"修护,柔顺","学生党,年轻女性","宿舍日常,开学季","治愈,高性价比","100-150元",8.2,8.5,1
002,小红书,发尾毛躁怎么办？这瓶修护洗发水真的救了我,讲述毛躁发质改善经历，使用修护类洗发水后发质明显改善,289,38,"修护,蓬松","年轻女性,护发达人","换季护理,日常复购","真实分享,种草","100-150元",7.8,8.1,1
003,小红书,开学季宿舍好物分享｜洗护篇,开学季宿舍必备好物盘点，包含洗发水推荐，以高性价比为核心卖点,445,67,"修护,柔顺,留香","学生党","开学季,宿舍日常","高性价比,治愈","100-150元",9.1,8.8,1
004,抖音,100块内修护洗发水测评｜学生党必看,测评视频展示三款修护洗发水对比，重点突出性价比和顺滑感,1256,189,"修护,柔顺","学生党,价格敏感型","日常复购,开学季","高性价比,真实测评","50-100元,100-150元",8.6,8.3,1
005,小红书,玫瑰香氛洗发水｜宿舍室友都在问我用什么,以玫瑰香为核心卖点，强调宿舍用香氛感，引发室友询问的种草逻辑,367,52,"留香,柔顺","学生党,年轻女性","宿舍日常","情绪种草,治愈","100-150元",8.4,8.6,1
006,小红书,修护受损发质全攻略｜这几款洗发水我用过,受损发质修护经验分享，多款产品横向对比，干货内容偏强,198,29,"修护,护发","护发达人,年轻女性","换季护理,日常复购","专业测评","150-200元",7.2,7.4,1
007,抖音,开学季必备宿舍洗护好物清单,短视频形式的开学季洗护好物清单，主打宿舍场景和学生党预算,2340,312,"修护,柔顺,留香","学生党","开学季,宿舍日常","高性价比,生活分享","100-150元",9.3,9.0,1
008,小红书,这瓶洗发水凭什么火？玫瑰香+修护力解析,深度解析一款玫瑰香氛修护洗发水的爆款逻辑，从香味、效果、人群三个维度分析,156,44,"修护,柔顺,留香","年轻女性,护发达人","日常复购","专业分析,种草","100-150元",7.6,7.9,1
009,B站,【护发日记】穷学生如何养出顺滑长发,以穷学生人设分享低预算养发方案，洗发水推荐为核心内容之一,892,134,"修护,柔顺","学生党,价格敏感型","宿舍日常,日常复购","真实分享,高性价比","50-100元,100-150元",8.0,8.2,1
010,小红书,宿舍推荐｜这瓶修护洗发水开学必备,简短种草笔记，一图展示产品外观和使用感，配文强调宿舍场景,421,63,"修护,柔顺","学生党","宿舍日常,开学季","种草,治愈","100-150元",8.7,8.9,1
011,小红书,换季头发毛躁？试试这款玫瑰修护洗发水,季节变换导致发质下降，推荐玫瑰修护洗发水作为换季护发解决方案,234,31,"修护,柔顺,留香","年轻女性","换季护理","治愈,种草","100-150元",7.9,8.0,1
012,抖音,室友问我洗发水品牌的次数多了我做了这个视频,以室友反复询问为钩子，分享推荐的玫瑰修护洗发水,1876,267,"修护,柔顺,留香","学生党,年轻女性","宿舍日常","真实分享,种草","100-150元",9.0,8.7,1
013,小红书,不踩雷指南｜100-150元修护洗发水怎么选,价格段内修护洗发水的选购指南，提供对比框架和推荐逻辑,176,38,"修护","价格敏感型,年轻女性","日常复购","专业分析","100-150元",7.3,7.5,1
014,小红书,宿舍日常｜我的洗护台上只放这几样,极简宿舍洗护分享，以审美和日常感为主，产品推荐自然嵌入,512,89,"修护,柔顺,留香","学生党,年轻女性","宿舍日常","生活美学,治愈","100-150元",8.5,8.4,1
015,小红书,真实测评｜玫瑰修护洗发水一个月使用感受,一个月使用记录，从第一周到第四周分阶段描述发质变化,267,47,"修护,柔顺","年轻女性,护发达人","日常复购","真实测评","100-150元",7.8,8.0,1
016,抖音,学生党洗发水大赏｜哪款最值？,学生党视角的洗发水横向对比测评，以性价比为核心评分维度,3421,456,"修护,柔顺","学生党,价格敏感型","开学季,日常复购","高性价比,真实测评","50-100元,100-150元",9.2,8.9,1
017,小红书,这香味真的会上瘾｜修护洗发水玫瑰限定版,以香味为核心卖点，强调玫瑰香的独特性和留香效果,389,55,"留香,修护","年轻女性","日常复购","情绪种草,治愈","100-150元",8.3,8.5,1
018,小红书,开学季宿舍洗护组合推荐｜学生党必看,以组合购买逻辑推荐洗护套装，洗发水为核心单品,334,48,"修护,柔顺,留香","学生党","开学季,宿舍日常","高性价比,种草","100-150元",8.6,8.7,1
019,B站,【好物推荐】大学宿舍洗护完全攻略,系统介绍宿舍洗护用品选购逻辑，包含洗发水、护发素、沐浴露推荐,756,98,"修护,柔顺","学生党","宿舍日常,开学季","专业分析,高性价比","100-150元",7.9,8.1,1
020,小红书,头发顺滑如丝｜这瓶洗发水我回购三次了,以回购次数强调产品稳定性，重点描述顺滑感和香味记忆,445,72,"修护,柔顺,留香","年轻女性","日常复购","真实分享,种草","100-150元",8.8,9.0,1
